 · déplacez la coupe pour explorer.	 · move the cut to explore.
 · vous pouvez déjà pivoter la vue.	 · you can already rotate the view.
 exclue(s), dimensions différentes.	 excluded: different dimensions.
après fusion	after melting
après étalement	after spreading
étape non identifiée	unidentified stage
séquence paire	even sequence
séquence impaire	odd sequence
Synthèse	Summary
Revue détaillée	Detailed review
Présentation	Presentation
Vues 3D, chiffres clés, tableau et commentaires. Pour une lecture rapide.	3D views, key figures, register and comments. For a quick overview.
Synthèse et fiche de chaque indication avec les photos avant, au pic et après.	Overview and an individual sheet for each indication, with before, peak and after photographs.
Summary et fiche de chaque indication avec les photos avant, au pic et après.	Overview and an individual sheet for each indication, with before, peak and after photographs.
Fond sombre, grandes vues 3D et fiches visuelles. Pour présenter les observations.	Dark theme, large 3D views and visual review sheets. For presenting observations.
Options de rapport invalides.	Invalid report options.
Champ de rapport invalide : 	Invalid report field: 
Renseignez le nom du job.	Enter a job name.
Modèle de rapport inconnu.	Unknown report template.
Date du rapport invalide.	Invalid report date.
Option de vue 3D invalide.	Invalid 3D-view option.
Cadrage du rapport inconnu.	Unknown report region.
Choisissez 32, 64 ou 128 plans d’aperçu.	Choose 32, 64 or 128 preview planes.
La revue a changé. Rouvrez la préparation du rapport pour actualiser son périmètre.	The review has changed. Reopen report setup to refresh its scope.
Retenez entre 1 et 500 indications satisfaisant la persistance minimale avant d’exporter le rapport.	Keep between 1 and 500 indications meeting the minimum persistence before exporting a report.
Empilement photographique ; aucune forme after melting attribuée.	Photographic stack; no post-melting shape assigned.
Empilement photographique ; aucune forme après fusion attribuée.	Photographic stack; no post-melting shape assigned.
Forme cyan extraite des photos après fusion.	Cyan shape extracted from post-melting photographs.
Forme cyan extraite des photos after melting.	Cyan shape extracted from post-melting photographs.
 Les repères correspondent aux observations après étalement, à leur hauteur de couche.	 Markers correspond to post-spreading observations at their layer heights.
 Les repères correspondent aux observations after spreading, à leur hauteur de couche.	 Markers correspond to post-spreading observations at their layer heights.
 reste dans le tableau et les fiches, mais ne peut pas être placé dans ce cadrage 3D (dimensions, position ou hauteur hors volume).	 remains in the register and review sheets but cannot be placed in this 3D crop (dimensions, position or height outside the volume).
Rapport de revue des images de fabrication	Build image review report
Indications retenues par l’opérateur · analyse d’un job seul	Operator-retained indications · single-job analysis
indication(s) retenue(s)	retained indication(s)
priorité maximale / 100	maximum priority / 100
persistance minimale	minimum persistence
acquisitions comparables	comparable acquisitions
 masquée(s) par ce filtre. Les indications à examiner et écartées ne figurent pas dans ce rapport. Instantané du 	 hidden by this filter. Pending and dismissed indications are excluded from this report. Snapshot taken on 
Conclusion de la revue	Review conclusion
Vue 3D des indications retenues	3D view of retained indications
Oblique view du volume avec les indications retenues	Oblique volume view with retained indications
Top view des indications retenues	Top view of retained indications
 · volume complet	 · complete volume
 · toutes hauteurs superposées	 · all heights overlaid
Cyan : forme photographique	Cyan: photographic shape
Gris : photographies	Gray: photographs
 plans chargés sur 	 planes loaded out of 
 sélectionnés, parmi 	 sampled, from 
 repère(s) retenu(s), placés au pic de l’indication et visibles à travers les sections.	 retained marker(s), placed at indication peaks and visible through the sections.
Axe vertical : ordre des acquisitions ; hauteur physique et étape non attribuées.	Vertical axis: acquisition order; physical height and process stage are not assigned.
Z suit les hauteurs de couche ; son affichage est amplifié. X/Y restent en pixels non calibrés.	Z follows layer heights and is exaggerated for clarity. X/Y remain in uncalibrated pixels.
 Reconstruction photographique approximative : reflets et ombres peuvent fausser les contours. Vues fixes intégrées au fichier, consultables hors ligne.	 Approximate photographic reconstruction: reflections and shadows may distort outlines. Fixed views are embedded in the file for offline use.
Limites de la vue exportée	Exported-view limitations
Registre des indications retenues	Retained-indications register
score de priorité décroissant	highest priority first
. Les repères R001, R002… identifient les fiches de ce rapport.	. References R001, R002… identify the report review sheets.
Le cadre rouge repère la zone signalée.	The red box locates the flagged area.
Zone au pic : 	Peak region: 
, même échelle de gris. Le cadre bleu repère le même emplacement avant et après.	, same gray-level scale. The blue box marks the same location before and after.
Aucun commentaire.	No comment.
Paramètres et traçabilité	Settings and traceability
Bibliothèque source	Source library
Révision des décisions	Decision revision
Photos mesurées	Measured photos
Gris initial / 255	Initial gray level / 255
Non disponible	Unavailable
Seuil minimal / 255	Minimum threshold / 255
Contraste 3D	3D contrast
Les annotations des chercheurs ne sont pas utilisées pour ces indications. Le rapport restitue les observations retenues par l’opérateur ; il n’attribue pas de conformité matière.	Researcher annotations are not used for these indications. The report records observations retained by the operator; it does not determine material conformity.
provenance de la bibliothèque	library provenance
Rapport prêt	Report ready
Un rapport est déjà en préparation. Attendez sa fin ou annulez-le.	A report is already being generated. Wait for completion or cancel it.
Préparation des vues	Preparing views
Préparation annulée.	Generation cancelled.
Export impossible.	Export failed.
Rapport introuvable. Préparez un nouvel export.	Report not found. Generate a new export.
Le rapport n’est pas encore prêt.	The report is not ready yet.
Extraction très étendue sur la couche 	Very extensive extraction on layer 
Aucune section cyan exploitable : la reconstruction est vide. Vérifiez les photos et le contraste minimal.	No usable cyan section: the reconstruction is empty. Check the photographs and minimum contrast.
Vue 3D 	3D view 
Vue 3D · 	3D view · 
 indisponible : 	 unavailable: 
 plans · 	 planes · 
Réglages modifiés · régénérez l’aperçu	Settings changed · generate a new preview
Lecture des indications retenues…	Reading retained indications…
 retenue(s) exportable(s) · minimum persistence 	 exportable retained indication(s) · minimum persistence 
 retenue(s) exportable(s) · persistance minimale 	 exportable retained indication(s) · minimum persistence 
 retenue(s) masquée(s) par ce filtre.	 retained indication(s) hidden by this filter.
Retenez au moins une indication satisfaisant la persistance minimale avant de générer un rapport.	Keep at least one indication meeting the minimum persistence before generating a report.
Cet export est limité à 500 indications retenues. Ajustez la revue ou la persistance.	This export is limited to 500 retained indications. Adjust the review or persistence filter.
Préparation du rapport…	Generating report…
État de rapport inattendu.	Unexpected report status.
Instantané des décisions · 	Decision snapshot · 
Aperçu · 	Preview · 
Aperçu	Preview
Fiche 	Review sheet 
Gros plan	Close-up
Couche	Layer
Couches	Layers
couche(s)	layer(s)
couches	layers
 consécutive(s)	 consecutive
 consécutives.	 consecutive.
 retenue(s)	 retained
 signalées	 flagged
Intensité	Intensity
Persistance	Persistence
Priorité	Priority
Commentaire	Comment
Repère / 	Ref. / 
Ordre : 	Order: 
chronologique	chronological
étape.	stage.
Avant	Before
Image signalée	Flagged image
Après	After
